Telemetry(timestamp='22.05.2023 08:45:21.221927', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:21.222223', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:21.226842', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:21.228401', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:21.720599', value='1249304.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:21.721237', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:21.723048', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:21.723274', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:21.728186', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:21.729753', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:22.221222', value='3.645833', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:22.221351', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:22.221537', value='101.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:22.224383', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:22.225047', value='5947.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:22.720706', value='1274344.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:22.720922', value='23.497268', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:22.721553', value='269.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:22.722143', value='2.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:22.724885', value='21858.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:22.727151', value='2.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:23.221033', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:23.221089', value='16.022099', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:23.221225', value='461.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:23.222704', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:23.224763', value='34618.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:23.720169', value='1257004.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:23.721287', value='21.428571', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:23.721342', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:23.721347', value='511.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:23.723371', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:23.724147', value='32790.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
