Telemetry(timestamp='22.05.2023 08:52:35.220918', value='4.347826', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:35.222431', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:35.222779', value='289.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:35.227673', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:35.229089', value='41947.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:35.720734', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:35.720852', value='1256812.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:35.721272', value='328.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:35.721706', value='23.756906', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:35.722735', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:35.725323', value='39117.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:36.220810', value='10.270270', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:36.221479', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:36.221539', value='540.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:36.223689', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:36.224180', value='36020.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:36.720876', value='22.651934', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:36.721251', value='585.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:36.721404', value='1252108.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:36.721600', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:36.724374', value='38173.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:36.725632', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:37.220996', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:37.221195', value='500.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:37.221555', value='13.095238', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:37.222078', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:37.224753', value='40454.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:37.720889', value='1370344.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:37.721411', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:37.721525', value='367.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:37.721713', value='24.324324', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:37.724375', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:37.724982', value='41090.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:38.221648', value='15.217391', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:38.221692', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:38.221912', value='368.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:38.224517', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:38.224882', value='35665.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:38.721349', value='1328800.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:38.721631', value='543.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:38.722058', value='13.966480', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:38.724037', value='40403.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:38.724770', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:38.730727', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:39.221787', value='29.670330', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:39.221861', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:39.222351', value='454.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:39.225099', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:52:39.226163', value='32995.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:52:39.720935', value='1304656.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:52:39.721523', value='6.486486', node='ubuntu', metric='cpu', subsystem=None)
