Telemetry(timestamp='22.05.2023 08:42:51.221685', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:51.221865', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:51.223202', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:51.225168', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:51.720960', value='1249920.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:51.721974', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:51.722395', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:51.722670', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:51.726041', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:51.727591', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:52.221448', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:52.222897', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:52.222937', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:52.226958', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:52.227669', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:52.720267', value='1256676.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:52.721691', value='10.994764', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:52.721856', value='124.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:52.721923', value='1.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:52.724572', value='7343.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:52.725174', value='1.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:53.220819', value='20.441989', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:53.221340', value='309.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:53.221431', value='5.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:53.223248', value='19109.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:53.224622', value='5.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:53.721176', value='21.195652', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:53.721178', value='389.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:53.721232', value='7.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:53.721505', value='1262784.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:53.722968', value='24070.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:53.723580', value='7.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:54.221249', value='407.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:54.221601', value='7.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:54.222022', value='24.468085', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:54.222860', value='25611.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:54.224143', value='7.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:54.721183', value='1246240.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:54.721949', value='6.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:54.722051', value='418.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:54.722054', value='24.468085', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:54.726022', value='6.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:54.726939', value='26748.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:55.220637', value='417.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:55.221130', value='6.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:55.221427', value='23.529412', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:55.221574', value='26826.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:55.225646', value='6.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:55.720683', value='1257512.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:55.721547', value='19.021739', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:55.721867', value='6.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:55.721871', value='420.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:55.725765', value='6.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:55.726047', value='26826.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:56.220967', value='22.872340', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:56.221317', value='6.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:56.221341', value='408.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:56.224615', value='6.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:56.224850', value='25432.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:56.720976', value='23.684211', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:56.721044', value='1269700.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:42:56.721256', value='384.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:42:56.721384', value='7.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:42:56.723916', value='23595.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
