Telemetry(timestamp='21.05.2023 21:51:08.221150', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:08.221155', value='24.747475', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:08.221249', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:08.224502', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:08.226520', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:08.721174', value='2808996.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:08.721584', value='48.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:08.721972', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:08.722017', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:08.725133', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:08.725438', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:09.221157', value='50.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:09.221442', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:09.221669', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:09.224027', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:09.226197', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:09.720518', value='2832180.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:09.721246', value='51.758794', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:09.721874', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:09.721925', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:09.725636', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:09.726273', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:10.220510', value='43.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:10.221303', value='11079.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:10.221401', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:10.224004', value='11079.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:10.225460', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:10.720453', value='26.600985', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:10.720819', value='2893996.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:10.721125', value='27399.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:10.721267', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:10.723379', value='27399.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:10.725651', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:11.220999', value='26.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='21.05.2023 21:51:11.221511', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:11.221536', value='31736.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:11.227026', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='21.05.2023 21:51:11.227360', value='31736.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='21.05.2023 21:51:11.720333', value='2965060.000000', node='ubuntu', metric='ram', subsystem=None)
