Telemetry(timestamp='29.05.2023 20:20:12.393919', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:12.310709', value='1038088.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:12.311765', value='5.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:12.311836', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:12.536361', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:12.810667', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:12.811492', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:12.957382', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:13.310637', value='1038080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:13.310766', value='2.487562', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:13.311651', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:13.451173', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:13.810800', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:13.811491', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:13.961826', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:14.310875', value='0.050000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:14.311354', value='1038076.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:14.311803', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:14.311935', value='2.463054', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:14.435704', value='0.090000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:14.459874', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:14.811140', value='2.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:20:14.812231', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:14.864266', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:20:15.311316', value='1.990050', node='ubuntu', metric='cpu', subsystem=None)
