Telemetry(timestamp='29.05.2023 17:57:57.736818', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:57.739488', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:57.739486', value='12.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:58.237078', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:58.237771', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:58.238550', value='1114768.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:58.237769', value='12.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:58.737585', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:58.738156', value='12.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:58.738158', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:59.238372', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:59.237330', value='1114768.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:59.239091', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:59.239098', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:59.737710', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:57:59.740879', value='13.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:57:59.740882', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:58:00.237149', value='1114768.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 17:58:00.238659', value='12.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 17:58:00.237588', value='4.545455', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 17:58:00.238662', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
