Telemetry(timestamp='29.05.2023 18:18:12.602051', value='1077212.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:12.603120', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:12.603692', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:12.603675', value='14.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:13.102708', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:13.104331', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:13.104334', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:13.603255', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:13.603252', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:13.603181', value='1.990050', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:13.604239', value='1077212.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:14.102865', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:14.102862', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:14.103210', value='0.507614', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:14.602373', value='1077208.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:14.603364', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:14.605520', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:14.605513', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:15.102912', value='2.538071', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:15.103884', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:15.103887', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:15.602472', value='0.010000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:15.602475', value='0.290000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:15.602452', value='1077208.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:15.603113', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:15.603634', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:15.603110', value='14.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:16.102480', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 18:18:16.102932', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:16.102930', value='15.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 18:18:16.602231', value='1077208.000000', node='ubuntu', metric='ram', subsystem=None)
