Telemetry(timestamp='03.06.2023 17:48:09.853628', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:09.853845', value='1.507538', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.897267', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:10.352708', value='14.650000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.352710', value='7.860000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.354879', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:10.354991', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.355193', value='1062708.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.564406', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:10.853214', value='1.015228', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:10.855497', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:11.205580', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:11.354039', value='5.612245', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:11.354318', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:11.354668', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:11.531070', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:11.853681', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:11.853931', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:12.428782', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:12.353225', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:12.353938', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:12.354254', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:12.386039', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:12.853622', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:12.854259', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:12.897675', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:13.353117', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:13.354598', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:13.354709', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:13.590497', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:13.853461', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:13.853551', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:13.980113', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:14.353293', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:14.353447', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:14.355507', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:14.508107', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:14.853269', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:14.853847', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:14.869458', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:15.353648', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:15.353868', value='13.470000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:15.353909', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:15.354347', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:15.524640', value='7.730000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:15.526831', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:15.853913', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:15.855616', value='1.980198', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:15.874855', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:16.353518', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:16.353659', value='5.641026', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:16.355285', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:16.549479', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:16.853191', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:16.854809', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:17.598501', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:17.353112', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:17.353733', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:17.353835', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:17.573317', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:17.853455', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:17.854198', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:17.862495', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:18.353519', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:18.353743', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:18.354987', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:18.378804', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:18.853026', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:18.854942', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.391812', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.353458', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:19.353534', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.354203', value='1062660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:19.501430', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.853543', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.853547', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:19.854337', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.352537', value='12.390000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.352540', value='7.600000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.353519', value='1062648.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.353770', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.355132', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:20.549444', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:20.852845', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:20.854822', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:21.424775', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 17:48:21.353605', value='6.060606', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 17:48:21.353878', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
