Telemetry(timestamp='03.06.2023 12:19:00.113476', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:00.113805', value='1014496.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:00.114033', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:00.275219', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:00.614190', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:00.614327', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:00.786034', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:01.113791', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:01.113931', value='1014496.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:01.113953', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:01.527629', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:01.113285', value='0.080000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:01.615278', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:01.615384', value='1.980198', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:01.721993', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:01.113288', value='0.020000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:02.113585', value='3.030303', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:02.114419', value='1014496.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:02.115144', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:02.333088', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:02.613716', value='3.045685', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:02.614260', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:02.742960', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:03.114054', value='1014488.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:03.114114', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:03.114924', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:03.357799', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:03.613939', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:03.613819', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:03.621768', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:04.113331', value='1024152.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:04.115159', value='12.244898', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:04.115355', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:04.269186', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:04.613906', value='35.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:04.615268', value='12.234043', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:04.628200', value='1065.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:05.113344', value='24.731183', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:05.113735', value='1064904.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:19:05.115487', value='59.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:19:05.297207', value='2168.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
