Telemetry(timestamp='28.05.2023 11:37:43.151844', value='1.507538', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:43.151857', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:43.320097', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:43.649860', value='1025620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:43.650163', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:43.650997', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:43.681107', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:44.150330', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:44.150766', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:44.342754', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:44.650715', value='1025620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:44.651125', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:44.651274', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:44.866690', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:45.152160', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:45.152422', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:45.399133', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:45.650542', value='1025620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:45.651495', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:45.652031', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:45.816019', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:46.151427', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:46.151669', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:46.287518', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:46.650138', value='0.010000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:46.650141', value='0.050000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:46.650206', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:46.650410', value='1025620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:46.651640', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:46.685244', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:47.150352', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:47.150618', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:47.319329', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:47.650353', value='3.535354', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:47.650771', value='1025620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:47.652952', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:47.686753', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:48.150757', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:48.152528', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:48.338552', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:48.650531', value='1025608.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:48.651146', value='5.025126', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:48.653492', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:48.687116', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:37:49.151073', value='6.701031', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:37:49.151549', value='33.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
