Telemetry(timestamp='28.05.2023 14:13:41.111436', value='1144620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:41.113456', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:41.113575', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:41.250841', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:41.612779', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:41.613016', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:41.750293', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:42.111366', value='1144620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:42.111374', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:42.112497', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:42.262750', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:42.611831', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:42.612042', value='3.061224', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:42.794281', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:43.110875', value='0.880000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:43.110871', value='0.050000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:43.111050', value='1144620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:43.112055', value='2.487562', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:43.112806', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:43.292492', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:43.611676', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:43.612235', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:43.800517', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:44.111101', value='1144620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:44.112062', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:44.112064', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:44.309301', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:44.613071', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:44.613026', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:44.735437', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:45.111316', value='4.761905', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:45.111496', value='1145616.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:45.111959', value='38.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:45.237233', value='1106.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:45.611650', value='4.838710', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:45.611946', value='78.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:45.737835', value='2991.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:46.111381', value='1149900.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:46.113932', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:46.113996', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:46.253990', value='3953.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:46.611565', value='6.451613', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:13:46.613141', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:13:46.768440', value='4058.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
