Telemetry(timestamp='22.05.2023 07:33:47.220329', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:47.220885', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:47.221338', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:47.221822', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:47.222986', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:47.721075', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:47.721205', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:47.721347', value='1499044.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:47.721938', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:47.723584', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:47.727126', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:48.221288', value='26.368159', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:48.221298', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:48.221605', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:48.225066', value='0.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 07:33:48.226238', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:48.720852', value='1697268.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:48.721217', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 07:33:48.721851', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 07:33:48.721857', value='0.000000', node='ubuntu', metric='tx', subsystem='lo')
