Telemetry(timestamp='27.05.2023 11:34:51.309740', value='95.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:51.312830', value='3.125000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:51.148305', value='3935.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:51.529834', value='1090372.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:51.531703', value='27.272727', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:51.532959', value='54.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:51.697391', value='2197.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:52.304890', value='28.947368', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:52.330380', value='13.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:52.130406', value='205.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:52.530679', value='67.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:52.530686', value='1090296.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:52.530826', value='1.041667', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:52.688519', value='1569.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:53.310060', value='106.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:53.311913', value='2.590674', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:53.210708', value='3100.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:53.530297', value='1097352.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:53.530987', value='15.384615', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:53.532306', value='76.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:53.632986', value='2890.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:54.306216', value='27.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:54.318439', value='35.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:54.240928', value='1293.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:54.530041', value='1086448.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:54.530944', value='18.750000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:54.531073', value='36.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:54.761172', value='963.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:55.309014', value='7.179487', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:55.315290', value='78.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:55.161980', value='2929.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:55.529726', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:55.529727', value='0.060000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:55.529776', value='1090984.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:55.530814', value='82.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:55.531932', value='8.762887', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:55.697845', value='3503.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:56.307024', value='28.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:56.322144', value='40.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:56.119823', value='1533.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:56.530386', value='1088780.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:56.530871', value='22.164948', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:56.530931', value='36.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:56.703351', value='935.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:57.304572', value='2.094241', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:57.315084', value='79.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:57.216804', value='2962.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:57.531334', value='11.734694', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:57.531447', value='1094800.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:57.532826', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:57.745101', value='3531.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:58.323512', value='39.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
