Telemetry(timestamp='27.05.2023 16:38:55.508589', value='26.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:55.524172', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:55.248371', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:55.550872', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:55.551068', value='1742500.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:55.551147', value='26.237624', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:55.749478', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:56.510579', value='27.363184', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:56.513273', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:56.173948', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:56.551143', value='0.320000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:56.551287', value='2049028.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:56.551822', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:56.552046', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:56.672776', value='0.190000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:56.683308', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:57.518958', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:57.519416', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:57.196519', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:57.550753', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:57.550854', value='2049028.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:57.551638', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:57.564974', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:58.507067', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:58.509798', value='26.237624', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:58.207302', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:58.550628', value='2062132.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:58.551058', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:58.551186', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:58.732103', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:59.517195', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:59.517324', value='25.870647', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:59.239901', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:59.550752', value='25.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:59.550757', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:38:59.550816', value='2086576.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:38:59.750323', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:00.506528', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:00.517064', value='26.865672', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:00.272078', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:00.550851', value='2109256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:00.551251', value='26.237624', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:00.551559', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:00.686184', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:01.507714', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:01.510499', value='26.237624', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:01.186255', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:01.550560', value='2109256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:01.550637', value='0.370000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:01.550767', value='25.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:01.551509', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:01.696322', value='0.210000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:01.706828', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:02.510788', value='25.125628', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:02.511379', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:02.233180', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:02.550884', value='1390460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:02.551374', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:02.551665', value='18.686869', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:02.560293', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:03.513360', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 16:39:03.517311', value='2.487562', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 16:39:03.224717', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
