Telemetry(timestamp='27.05.2023 10:56:56.307421', value='31.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:56.319619', value='4.591837', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:56.238731', value='831.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:56.530326', value='1015660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:56.530374', value='9.625668', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:56.532188', value='70.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:56.565376', value='2583.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:57.302677', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:57.322130', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:57.262305', value='3506.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:57.530338', value='1009980.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:57.530849', value='6.914894', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:57.531193', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:57.598787', value='3463.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:58.306659', value='10.106383', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:58.314904', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:58.163397', value='3435.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:58.530676', value='1017148.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:58.531284', value='10.215054', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:58.532145', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:58.564042', value='3499.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:59.305164', value='11.052632', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:59.327579', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:59.197709', value='3319.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:59.530083', value='997884.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:59.530995', value='6.010929', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:56:59.531739', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:56:59.630592', value='3460.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:00.308769', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:00.311252', value='8.108108', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:00.219065', value='3812.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:00.530824', value='0.010000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:00.530828', value='0.080000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:00.530879', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:00.531151', value='1012552.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:00.531708', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:00.724904', value='3568.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:01.309358', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:01.316612', value='11.282051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:01.226495', value='3339.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:01.530030', value='1024976.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:01.531942', value='9.523810', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:01.533150', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:01.764222', value='3260.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:02.304746', value='5.347594', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:02.331307', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:02.184451', value='3445.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:02.530000', value='1024920.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:02.530719', value='4.687500', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:02.531486', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:02.697558', value='3645.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:03.304931', value='7.486631', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:03.315146', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:03.197544', value='3454.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:03.529748', value='1017832.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:03.531625', value='10.880829', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:03.531678', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:03.709538', value='3334.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:04.299844', value='8.465608', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:04.325560', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:04.122345', value='3168.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:04.530210', value='1020600.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:04.530489', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:04.530715', value='2.631579', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:04.712148', value='3432.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:05.305565', value='8.510638', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 10:57:05.307005', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:05.236990', value='3656.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 10:57:05.530294', value='1011800.000000', node='ubuntu', metric='ram', subsystem=None)
