Telemetry(timestamp='25.05.2023 16:41:43.439389', value='1045568.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:43.578624', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:43.611621', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:43.110554', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:43.504622', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:43.506075', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:43.509520', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:44.477997', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:44.527864', value='1045568.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:44.564230', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:44.100821', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:44.505534', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:44.506417', value='1.507538', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:44.510554', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:45.478673', value='26.315789', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:45.504733', value='1054340.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:45.661370', value='32.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:45.101921', value='1419.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:45.505214', value='428.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:45.505396', value='10.270270', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:45.507146', value='27440.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:46.430720', value='1119948.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:46.457783', value='39.673913', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:46.541889', value='525.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:46.103437', value='33681.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:46.504589', value='7.103825', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:46.505742', value='317.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:46.512052', value='35590.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:47.472223', value='327.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:47.477664', value='0.560000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:47.483153', value='21.390374', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:47.498232', value='1189720.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:47.612113', value='44335.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:47.699601', value='0.220000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:47.504901', value='12.432432', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:47.505475', value='235.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:47.509854', value='36164.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:48.478177', value='9.189189', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:48.481483', value='1174596.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:48.516140', value='298.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:48.932934', value='41354.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:48.504903', value='17.989418', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:48.505038', value='310.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:48.510810', value='39389.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:49.475465', value='5.789474', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:49.536765', value='235.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:49.843028', value='1195156.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:49.106420', value='44509.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:49.504611', value='414.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:49.506094', value='20.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:49.508405', value='46292.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.403559', value='1124672.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:50.462116', value='22.162162', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:50.567505', value='584.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.851191', value='38036.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.505102', value='637.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.505224', value='7.142857', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:50.507179', value='40697.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:51.419709', value='1123256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:51.473923', value='582.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
