Telemetry(timestamp='27.05.2023 11:26:48.751926', value='497.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:49.303362', value='6.451613', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:49.329666', value='63.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:49.178274', value='2456.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:49.530566', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:49.530720', value='1027924.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:49.531408', value='96.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:49.709369', value='3862.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:50.310499', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:50.316190', value='11.917098', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:50.711972', value='3505.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:50.530460', value='0.120000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:50.530464', value='0.160000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:50.530854', value='1017828.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:50.531535', value='7.894737', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:50.532174', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:50.722180', value='3648.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:51.307860', value='10.695187', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:51.320771', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:51.217855', value='3640.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:51.530791', value='4.371585', node='ubuntu', metric='cpu', subsystem=None)
