Telemetry(timestamp='27.05.2023 12:46:11.306151', value='6.451613', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:11.323449', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:11.239143', value='3961.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:11.530504', value='1049544.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:11.531345', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:11.531476', value='12.041885', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:11.571157', value='3480.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:12.306493', value='2.673797', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:12.317642', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:12.151571', value='3416.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:12.530334', value='1055564.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:12.530905', value='6.951872', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:12.532750', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:12.672823', value='3845.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:13.305174', value='5.405405', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:13.321964', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:13.183481', value='3976.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:13.529922', value='1056060.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:13.531533', value='7.407407', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:13.531643', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:13.714162', value='3906.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:14.304684', value='8.994709', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:46:14.315909', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:14.192418', value='3472.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:46:14.530761', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
